merchant,category
general store%2237 imps 29468,Others
apopha ord6019,Health & Medical
subway pos 56505,Food & Dining
1mg Medicines txn80691,Health & Medical
ref08a1ec electrician ref travelmart,Groceries
1mg upi 0985fe7c,Health & Medical
barber upi 553f9a0e,Services
ref no#bookmyshow4435,Entertainment
water can delivery,Services
ord shell onepay 14859,Fuel
hyd metro ticket urban mall 27631 imps dominos,Travel
pharmeasy imps 93774,Health & Medical
zmt-4935 upi 2fc99ba6,Food & Dining
hyd card bigbasket 80633,Groceries
dmart 40403 pay refb83833 mum cash withdrawal,Others
acrepser ord8808,Services
bigbasket pos 83483,Groceries
dmart upi f78903b5,Groceries
utr blink go cab,Travel
imps dishtvrecharge1756,Bills & Utilities
gift shop upi 51fa8628,Others
865 amazon quickpay starbucks,Shopping
shell fuel upi 6d88d08d,Fuel
urban company,Services
spencers imps 51349,Groceries
dth recharge!2873 pos 68015,Bills & Utilities
cafecoffee pos 33594,Food & Dining
phonepe-LocalVendorPurchase-787,Others
vpa zmto upi 4c3a25db,Food & Dining
blink go cab,Travel
vendor payment big bazaar 41472 ref mum,Groceries
cafecoffee pos 68648,Food & Dining
ajio imps 36632,Shopping
pump*4979 imps iocl imps 95122,Fuel
chnn 70226 clnc rbn mll crd,Entertainment
blink go cab imps 66754,Travel
misc payment pos 4903,Others
imps urban company%6495 imps 87849,Services
uber pos 50491,Travel
gurgaon gpay electricity bill daily mart,Travel
Lcl Vndr Prchs969,Others
upi hut_1182 pizza txn imps 21592,Food & Dining
imps salon service#1615 pos 57429,Services
spotify daily mart redbus gurgaon imps 77630,Entertainment
paytm amz prime/8438 pos 49925,Entertainment
dth recharge imps 11714,Bills & Utilities
meesho pos 50485,Shopping
imps gas bill-1880 upi f21fc547,Bills & Utilities
phonepe medplus-5959,Health & Medical
amazon prime imps 16334,Entertainment
flpkrt imps 64698,Shopping
decathlon pos 80099,Shopping
88996 pathlab express mart gas bill,Health & Medical
ref vendor payment 93619 water bill gurgaon,Bills & Utilities
paytm bookmyshow pos 41489,Entertainment
goibibo reliance 87131 water bill imps,Travel
99908 txn hyd bharat petroleum,Fuel
gpay rapido pos 1846,Travel
neft pharmeasy pos 94633,Health & Medical
urban company upi 9e813935,Services
swiggy upi ad1f38be,Food & Dining
spencers imps 38145,Groceries
omni corp 61830 misc payment kol,Fuel
spotify vijayawada txn dominos paymart 46026,Food & Dining
chennai 25800 pos express mart,Health & Medical
bookmyshow pos 96038,Entertainment
bookmyshow pos 65656,Entertainment
utr bookmyshow%1470,Entertainment
bookmyshow_8386 imps 63440,Entertainment
iocl pump upi 306b8243,Fuel
barber imps 47010,Services
imps ac service pos 12712,Services
gift shop pos 65651,Others
decathlon pos 83468,Shopping
pos 1mg fastlane 14335,Health & Medical
house cleaning pos 21079,Services
imps apollo pharmacy&3213 pos 18063,Health & Medical
tata cliq,Shopping
