merchant,category
Ajio,Shopping
Dish TV Recharge txn80032,Bills & Utilities
Airtel Recharge,Bills & Utilities
IdnianOilFuelStation#122,Fuel
D-Mrt967,Groceries
Domino's Pizza,Food & Dining
JioaMrtGrocery#750,Groceries
MakeMTyrip#108,Travel
RedBus,Travel
Flipkart,Shopping
Rapido Bike Taxi,Travel
Starbucks,Food & Dining
MoerSupermarket#995,Groceries
-DMart#200,Groceries
PVR Cinemas,Entertainment
Jiva Ayurveda,Health & Medical
HP Ptrl Pmp405,Fuel
son ord5185,Entertainment
IOCL Outlet txn5062,Fuel
Reliance Fresh,Groceries
SonyLiv,Entertainment
IOCL Outlet,Fuel
gpay-BigBazaar-9289,Groceries
Parking Fee,Others
Mr Sprmrkt430,Groceries
Car Wash Service,Services
Chai Point,Food & Dining
Local Vendor Purchase,Others
Burger King txn79997,Food & Dining
Flipkatr#556,Shopping
McDonald's,Food & Dining
Cash Withdrawal,Others
General Store,Others
Decathlno#270,Shopping
Dish TV Recharge txn37356,Bills & Utilities
1mg Mdcns61,Health & Medical
ord#rapidobiketaxi2996,Travel
1mg Medicines,Health & Medical
paytm-HouseCleaningService-1410,Services
Stabrucks#771,Food & Dining
sub ord3120,Food & Dining
phonepe-BigBasket-6953,Groceries
ApolloPhramacy#303,Health & Medical
Unknown Transaction,Others
HotstarPremuim#236,Entertainment
TNEBElectricityBill#351,Bills & Utilities
ref no#cashwithdrawal5041,Others
paytm-MakeMyTrip-1726,Travel
trf#jiofiberbill6243,Bills & Utilities
HP Petrol Pump,Fuel
son ord2652,Entertainment
Shell Fuel Centre,Fuel
Subway,Food & Dining
Amazon,Shopping
distvrec ord8817,Bills & Utilities
Hs Clnng Srvc562,Services
Electrician Services,Services
ApolloPharmcay#784,Health & Medical
imps kfc2687,Food & Dining
PVR Cnms926,Entertainment
IndiGo Airlines,Travel
PharmEasy,Health & Medical
utr#parkingfee2412,Others
croret ord9404,Shopping
IndianOil Fuel Station,Fuel
MakeMyTirp#672,Travel
Star Bazaar,Groceries
Jio Fiber Bill,Bills & Utilities
gascylbo ord9649,Bills & Utilities
Fortis Hospital,Health & Medical
BookMyShow,Entertainment
Hotstar Premium txn99362,Entertainment
House Cleaning Service,Services
Aamzon#356,Shopping
Netflix Subscription,Entertainment
Shll Fl Cntr523,Fuel
Spencer's,Groceries
JMrt Grcry364,Groceries
SalonSerivce#787,Services
gpay-BurgerKing-5866,Food & Dining
gpay-Zomato-6391,Food & Dining
IOCL Outlet txn97576,Fuel
caswit ord2770,Others
WaterBoardPyament#916,Bills & Utilities
pvrcin ord4647,Entertainment
BrabequeNation#802,Food & Dining
Barbeque Nation,Food & Dining
fli ord8986,Shopping
upi txn flipkart6276,Shopping
MakeMyTrip,Travel
Salon Service,Services
KFC txn8026,Food & Dining
card *reliancefresh7258,Groceries
Shll Fl Cntr405,Fuel
Shll Fl Cntr50,Fuel
Sln Srvc776,Services
gpay-StarBazaar-1292,Groceries
gpay-AirIndia-4736,Travel
MedPlus,Health & Medical
Air India,Travel
IRCTC,Travel
trf#mcdonald's755,Food & Dining
BPCL Pump,Fuel
BPCLPmup#778,Fuel
paytm-UnknownTransaction-2417,Others
Starbucks txn16012,Food & Dining
payment to redbus1760,Travel
Ola Cabs,Travel
Hotstar Premium,Entertainment
Urban Company,Services
Spotify,Entertainment
Nykaa,Shopping
EletcricianServices#744,Services
Vasan Eye Care,Health & Medical
sta ord3596,Food & Dining
Apollo Pharmacy,Health & Medical
gpay miscpayment5301,Others
oHtstarPremium#818,Entertainment
Dsh TV Rchrg483,Bills & Utilities
med ord3758,Health & Medical
Csh Wthdrwl674,Others
myn ord1753,Shopping
J Fbr Bll394,Bills & Utilities
Water Board Payment,Bills & Utilities
phonepe apollopharmacy6892,Health & Medical
Burger King txn54528,Food & Dining
Big Bazaar txn89797,Groceries
ShellFuelCetnre#343,Fuel
paytm-BarbequeNation-2880,Food & Dining
BookMyShow txn56750,Entertainment
TataClqi#106,Shopping
NX Mvs980,Entertainment
Burger King,Food & Dining
phonepe-Spotify-8673,Entertainment
paytm-ACRepairService-9816,Services
SoynLiv#891,Entertainment
gpay-Zomato-7551,Food & Dining
CrmoaRetail#972,Shopping
Misc Payment txn42983,Others
gpay-WaterBoardPayment-2821,Bills & Utilities
mzn22,Shopping
Airtel Recharge txn92267,Bills & Utilities
Vsn y Cr459,Health & Medical
JioMart Grocery,Groceries
Decathlon,Shopping
Spncr's277,Groceries
gpay-1mgMedicines-1840,Health & Medical
paytm-1mgMedicines-9038,Health & Medical
iMscPayment#214,Others
ndnl Fl Sttn494,Fuel
MoreuSpermarket#852,Groceries
Water Board Payment txn18423,Bills & Utilities
aCrWashService#244,Services
1mg Medicines txn17784,Health & Medical
BigBasket,Groceries
DishTVRechrage#866,Bills & Utilities
gpay-PVRCinemas-2596,Entertainment
Ntflx Sbscrptn207,Entertainment
Big Bazaar,Groceries
son ord9216,Entertainment
Apollo Pharmacy txn64405,Health & Medical
phonepe-RedBus-8837,Travel
phonepe-HouseCleaningService-8686,Services
UberRdies#917,Travel
MiscPyament#944,Others
Chai Point txn77622,Food & Dining
1mg Medicines txn55521,Health & Medical
Shll Fl Cntr936,Fuel
paytm-NetflixSubscription-848,Entertainment
Myntra,Shopping
paytm-NetflixSubscription-6096,Entertainment
Gas Cylinder Booking,Bills & Utilities
phonepe dishtvrecharge3738,Bills & Utilities
phonepe-Subway-2336,Food & Dining
irc ord2162,Travel
stabaz ord5655,Groceries
pha ord960,Health & Medical
gpay-IOCLOutlet-290,Fuel
ref no#cashwithdrawal1493,Others
Swiggy,Food & Dining
INOX Movies,Entertainment
phonepe-JioMartGrocery-1989,Groceries
phonepe carwashservice5369,Services
gpay-HouseCleaningService-2228,Services
nIdianOilFuelStation#438,Fuel
gpay-Amazon-5560,Shopping
deb card olacabs3037,Travel
Cash Withdrawal txn51369,Others
Cr Wsh Srvc628,Services
iBgBasket#596,Groceries
forhos ord3178,Health & Medical
croret ord520,Shopping
mastercard *makemytrip7066,Travel
ord#irctc8167,Travel
Cr Wsh Srvc23,Services
ShlelFuelCentre#516,Fuel
tneelebi ord2794,Bills & Utilities
rtl Rchrg109,Bills & Utilities
ReilanceFresh#848,Groceries
utr#localvendorpurchase507,Others
Zomato,Food & Dining
TataCliq,Shopping
Sptfy303,Entertainment
iocout ord1905,Fuel
Dsh TV Rchrg856,Bills & Utilities
pos id#iocloutlet9386,Fuel
Spencer's txn50958,Groceries
j23,Shopping
hppetpum ord7280,Fuel
Flipkart txn47376,Shopping
D-Mart,Groceries
Zmoato#786,Food & Dining
Dish TV Recharge,Bills & Utilities
indair ord3477,Travel
mak ord3701,Travel
INOX Movies txn68571,Entertainment
netsub ord1370,Entertainment
paytm-HPPetrolPump-6458,Fuel
Misc Payment,Others
TNEB Electricity Bill,Bills & Utilities
Croma Retail,Shopping
gpay inoxmovies789,Entertainment
gpay-AirIndia-439,Travel
paytm-Ajio-5403,Shopping
BgBskt604,Groceries
aji ord6784,Shopping
ref no#jiofiberbill5605,Bills & Utilities
mispay ord6875,Others
Jiva Ayurveda txn36162,Health & Medical
caswit ord2431,Others
Uber Rides,Travel
KFC,Food & Dining
irc ord322,Travel
paytm bigbasket9355,Groceries
AC Repair Service,Services
Sln Srvc827,Services
Sln Srvc866,Services
payment to hppetrolpump3291,Fuel
kfc ord4656,Food & Dining
phonepe-Spencer's-7115,Groceries
Spencers'#717,Groceries
ShlelFuelCentre#166,Fuel
carwasse ord1620,Services
Urban Company txn25435,Services
indair ord7532,Travel
phonepe-FortisHospital-3055,Health & Medical
Lcl Vndr Prchs834,Others
visa *indigoairlines1768,Travel
Apollo Pharmacy txn97028,Health & Medical
IOCL Outlet txn87136,Fuel
Starbucks txn21758,Food & Dining
paytm-UnknownTransaction-3284,Others
phonepe starbucks7391,Food & Dining
Domino'siPzza#613,Food & Dining
gpay bpclpump960,Fuel
BurgeKring#459,Food & Dining
phonepe kfc1974,Food & Dining
ord#1mgmedicines2135,Health & Medical
l Cbs899,Travel
More Supermarket,Groceries
Swggy244,Food & Dining
phonepe-Swiggy-1491,Food & Dining
JioMartGrcoery#840,Groceries
croret ord1285,Shopping
Uber Rides txn45729,Travel
lctrcn Srvcs814,Services
PVR Cnms774,Entertainment
tSarbucks#724,Food & Dining
Cr Wsh Srvc812,Services
watboapa ord7787,Bills & Utilities
red ord129,Travel
BPCL Pump txn81689,Fuel
imps myntra4132,Shopping
phonepe iocloutlet5885,Fuel
paytm-TataCliq-6865,Shopping
gensto ord3388,Others
BooMkyShow#392,Entertainment
McDonald's txn13899,Food & Dining
phonepe starbazaar3032,Groceries
ama ord8027,Shopping
pll Phrmcy465,Health & Medical
card *shellfuelcentre8088,Fuel
apopha ord6402,Health & Medical
gpay-IndiGoAirlines-6015,Travel
Myntra txn1024,Shopping
Zomato txn9330,Food & Dining
mastercard *jiofiberbill2991,Bills & Utilities
HP Petrol Pump txn95409,Fuel
phonepe-Domino'sPizza-9302,Food & Dining
AC Repair Service txn71430,Services
paytm-ParkingFee-1232,Others
Water Board Payment txn7797,Bills & Utilities
ShellFuelCetnre#195,Fuel
OlaCbas#592,Travel
visa *d-mart6819,Groceries
D-Mart txn44583,Groceries
AirtelRecahrge#650,Bills & Utilities
uberid ord3572,Travel
TNEB Electricity Bill txn43667,Bills & Utilities
Frts Hsptl170,Health & Medical
McDonadl's#973,Food & Dining
deb card fortishospital2665,Health & Medical
phonepe zomato45,Food & Dining
Airtel Recharge txn73938,Bills & Utilities
phonepe-CromaRetail-8129,Shopping
yMntra#407,Shopping
LocalVendorPurcahse#905,Others
ord#bookmyshow4394,Entertainment
paytm-ElectricianServices-2257,Services
bpcpum ord2186,Fuel
RCTC848,Travel
Vsn y Cr955,Health & Medical
D-Mrat#112,Groceries
IndianOilFueltSation#470,Fuel
gpay-JioFiberBill-5025,Bills & Utilities
pha ord7456,Health & Medical
distvrec ord4397,Bills & Utilities
paytm-UnknownTransaction-3831,Others
JiFoiberBill#435,Bills & Utilities
visa *moresupermarket580,Groceries
Dish TV Recharge txn29272,Bills & Utilities
House Cleaning Service txn69623,Services
Fortis Hospital txn89694,Health & Medical
ref no#spotify9487,Entertainment
utr#burgerking4899,Food & Dining
BigBasket txn25405,Groceries
Subway txn89395,Food & Dining
bigbaz ord8301,Groceries
jiofibbi ord325,Bills & Utilities
mastercard *reliancefresh440,Groceries
phonepe jivaayurveda292,Health & Medical
RelinaceFresh#627,Groceries
Myntr138,Shopping
Fortis Hospital txn17415,Health & Medical
phonepe-HPPetrolPump-2025,Fuel
KFC#345,Food & Dining
paytm-ShellFuelCentre-2460,Fuel
r nd910,Travel
D-Mrt455,Groceries
McDnld's536,Food & Dining
iocout ord4897,Fuel
Air India txn79890,Travel
Swggy526,Food & Dining
C Rpr Srvc174,Services
Jv yrvd918,Health & Medical
BCPLPump#556,Fuel
RaipdoBikeTaxi#314,Travel
KFC txn14173,Food & Dining
CarWashSrevice#647,Services
TNEB Electricity Bill txn17134,Bills & Utilities
imps indianoilfuelstation3698,Fuel
paytm-BurgerKing-1627,Food & Dining
1mgmed ord8116,Health & Medical
